BoneName,PosX,PosY,PosZ,RotX,RotY,RotZ
hip,-1.37915468,0.938427746,0.252967238,-0.0605096221,0.7078915,0.0179735124
spine,-1.42725742,1.01732278,0.2483333,0.6966245,0.04325429,0.71612
chest,-1.42368138,1.29315591,0.228018045,-0.6718244,-0.00855321251,-0.739113569
neck,-1.41181052,1.49257624,0.212601,-0.689449966,0.0101114456,-0.7225997
head,-1.40259719,1.60063624,0.20684205,-0.7064323,0.0287666731,-0.7054117
leftShoulder,-1.4040333,1.420304,0.2894632,-0.439211577,0.38731125,-0.5801094
leftUpperArm,-1.44617474,1.428138,0.415449679,0.071041204,0.993640959,-0.0567533523
leftLowerArm,-1.4845506,1.17435336,0.442118943,0.125262067,0.982493937,-0.107742235
leftHand,-1.55976188,0.9057138,0.4961509,0.160870209,-0.9630782,-0.0272813886
rightShoulder,-1.39112532,1.40885639,0.151325822,-0.4847364,-0.603310049,-0.436826825
rightUpperArm,-1.41565359,1.38910413,0.0220273733,-0.0545516126,0.0173920114,-0.253334284
rightLowerArm,-1.28890407,1.165711,-0.00288628414,0.0554117076,-0.040208403,0.35747245
rightHand,-1.09841835,0.9559243,-0.0240482558,0.1909725,0.0273448657,-0.265969872
leftUpLeg,-1.37892509,0.9432633,0.332905531,0.37537986,-0.9095153,0.05705329
leftLeg,-1.07903206,0.639295936,0.322987467,-0.3592491,-0.9209513,0.143668965
leftFoot,-1.35649347,0.339507818,0.4511209,-0.2141004,0.4848716,-0.367987126
leftToe,-1.29223239,0.214307845,0.482018083,-0.191732258,0.4953958,-0.353691876
leftToeEnd,0.0,0.0,0.0,0.0,0.0,0.0
rightUpLeg,-1.37938428,0.93359226,0.173028946,0.04999409,0.0915043056,0.02503635
rightLeg,-1.40455568,0.5091442,0.213532582,0.0499942526,0.09150429,0.0250363015
rightFoot,-1.42967427,0.0836497247,0.253525,-0.619875968,0.3130222,-0.349363923
rightToe,-1.3194896,0.0236879662,0.182651192,-0.619875968,0.3130222,-0.349363923
rightToeEnd,0.0,0.0,0.0,0.0,0.0,0.0
leftThumbProximal,-1.52888739,0.894496858,0.507260442,0.470494777,-0.790370643,-0.138758108
leftThumbMedial,-1.50353229,0.8740052,0.484954029,0.0614001676,-0.9175626,0.05195325
leftThumbDistal,-1.49894071,0.844410837,0.486378819,0.0636509657,-0.9172468,0.0572586358
leftThumbTip,-1.493415,0.810661137,0.488280445,0.06365254,-0.9172465,0.0572614037
leftIndexProximal,-1.50800169,0.8395558,0.509200454,0.243560433,-0.116977096,0.10039717
leftIndexMedial,-1.49661851,0.800225437,0.488970965,-0.243517175,0.116981767,-0.100392453
