BoneName,PosX,PosY,PosZ,RotX,RotY,RotZ
hip,-1.32625687,0.931669533,0.416200817,-0.00808214,0.640425146,0.03974826
spine,-1.370562,1.01280236,0.412421465,0.6591201,-0.00167665875,0.751193
chest,-1.37792337,1.2890594,0.429245353,-0.6951578,0.02121998,-0.7180291
neck,-1.379837,1.48894989,0.442926437,-0.7107078,0.008762606,-0.70338136
head,-1.37718356,1.59752238,0.442950726,-0.724916935,-0.00371130649,-0.6874066
leftShoulder,-1.36240733,1.40711725,0.507665753,-0.487168431,0.410365939,-0.493321866
leftUpperArm,-1.3869766,1.4019804,0.6383556,-0.2028267,0.9775274,-0.004105433
leftLowerArm,-1.28452742,1.16516972,0.6344269,-0.262502462,0.9641622,-0.017398024
leftHand,-1.14035225,0.920348346,0.6388326,0.450571775,-0.8670969,-0.207222015
rightShoulder,-1.35794818,1.41666067,0.368854254,-0.5688777,-0.568748534,-0.433324516
rightUpperArm,-1.39719558,1.41969275,0.241730943,-0.0241536,-0.157109514,0.132840082
rightLowerArm,-1.46622574,1.17104971,0.240307316,0.09652328,0.148202643,-0.05019286
rightHand,-1.50239444,0.8936228,0.190615579,0.0606548823,-0.136702582,0.186405033
leftUpLeg,-1.34039593,0.9276158,0.494923234,0.06437102,-0.996926844,0.00189769838
leftLeg,-1.28550434,0.5040399,0.4940864,-0.114111342,-0.9921631,0.0102156866
leftFoot,-1.38194335,0.08717689,0.508252144,-0.541856468,0.49557063,-0.4097039
leftToe,-1.25997221,0.01590763,0.4799164,-0.5502736,0.4890879,-0.41742143
leftToeEnd,0.0,0.0,0.0,0.0,0.0,0.0
rightUpLeg,-1.31211782,0.935723245,0.3374784,0.0495004952,0.0111484267,0.23441717
rightLeg,-1.11818624,0.55763936,0.2941951,0.0415301137,0.0200853869,-0.252882242
rightFoot,-1.32815671,0.185819477,0.263564378,-0.4969956,0.240631789,-0.357248455
rightToe,-1.22739089,0.09637408,0.21252583,-0.492417634,0.242794141,-0.355782568
rightToeEnd,0.0,0.0,0.0,0.0,0.0,0.0
leftThumbProximal,-1.10748279,0.93139714,0.6387629,0.706931949,-0.490034044,-0.13387993
leftThumbMedial,-1.08532,0.932793736,0.6060945,0.372348547,-0.758319855,0.033984527
leftThumbDistal,-1.06730008,0.9111945,0.5957167,0.341509461,-0.7590274,-0.009015614
leftThumbTip,-1.04988492,0.884937942,0.5822818,0.341511518,-0.7590272,-0.009013337
leftIndexProximal,-1.05905735,0.903311253,0.6207448,0.38654232,0.122860976,0.3591103
leftIndexMedial,-1.03582442,0.883068264,0.5870382,-0.3864367,-0.122815676,-0.359126061
leftIndexDistal,-1.02152741,0.8706104,0.5663059,-0.386366278,-0.122785479,-0.359136581
leftIndexTip,-1.007514,0.858399451,0.545990765,-0.386367053,-0.122784242,-0.3591357
leftMiddleProximal,-1.07229614,0.883683145,0.6136193,0.3493352,-0.878296733,-0.32571438
leftMiddleMedial,-1.0441879,0.8581897,0.5860849,0.343028963,-0.825115263,-0.4434861
leftMiddleDistal,-1.02859008,0.846707642,0.561977744,0.335182458,-0.7808459,-0.5174696
leftMiddleTip,-1.016054,0.8395367,0.535787,0.3351825,-0.780846,-0.5174694
leftRingProximal,-1.09019887,0.8686047,0.606127441,0.3633694,-0.894689858,-0.255994827
leftRingMedial,-1.0607326,0.8421167,0.587476552,0.365169734,-0.8802865,-0.301826119
leftRingDistal,-1.0421412,0.826552153,0.5729936,0.3658295,-0.8693778,-0.331942379
leftRingTip,-1.02441549,0.812474251,0.557382345,0.3658295,-0.8693779,-0.3319421
leftLittleProximal,-1.11082709,0.859939933,0.60146296,0.2600387,-0.856507659,-0.42259258
leftLittleMedial,-1.090787,0.8419536,0.578429639,0.270349771,-0.8208549,-0.4882491
leftLittleDistal,-1.07826233,0.83355546,0.5620374,0.276308835,-0.7942779,-0.530389
leftLittleTip,-1.06572723,0.827096641,0.5442639,0.276308864,-0.7942777,-0.530389249
rightThumbProximal,-1.48444736,0.864038348,0.188347816,-0.2994411,-0.421279639,0.2252805
rightThumbMedial,-1.47971439,0.8356302,0.215383857,0.24740389,0.473321438,0.233936384
rightThumbDistal,-1.49813271,0.8125999,0.220796824,0.345168918,0.4410596,0.2902168
rightThumbTip,-1.523988,0.792279,0.230375767,0.3451669,0.4410605,0.2902155
rightIndexProximal,-1.50266969,0.8089116,0.1977006,-0.295508862,-0.0158833619,-0.223637745
rightIndexMedial,-1.5220679,0.775786757,0.222441778,0.351701021,0.00218848744,0.224189758
rightIndexDistal,-1.533561,0.757465243,0.240376621,0.388447523,-0.006949769,0.224092275
rightIndexTip,-1.54444242,0.741005063,0.2595819,0.388447374,-0.006949918,0.224092454
rightMiddleProximal,-1.5252676,0.816745,0.203967825,0.2502124,-0.1106436,0.254159749
rightMiddleMedial,-1.5447799,0.7817883,0.228369638,0.320520878,-0.129783049,0.2449399
rightMiddleDistal,-1.55592859,0.760929,0.248291433,0.366377324,-0.142127275,0.237989575
rightMiddleTip,-1.56545854,0.7424378,0.269780368,0.366377026,-0.142127171,0.237989664
rightRingProximal,-1.54450023,0.829995632,0.211617291,0.209661722,-0.2377033,0.275007129
rightRingMedial,-1.561998,0.7966776,0.2340108,0.2687731,-0.255237043,0.258816183
rightRingDistal,-1.57116294,0.776299357,0.251284,0.307555616,-0.266320258,0.247396916
rightRingTip,-1.5786227,0.75737,0.269780368,0.307555526,-0.266320229,0.247396946
rightLittleProximal,-1.55785346,0.8475884,0.2174953,0.202031985,-0.317274332,0.2818143
rightLittleMedial,-1.57093918,0.8206746,0.236470222,0.208891809,-0.319456846,0.279337853
rightLittleDistal,-1.57893038,0.803821,0.24864395,0.213458046,-0.320901155,0.277677476
rightLittleTip,-1.58691,0.7866994,0.261210263,0.213458046,-0.320901155,0.277677476
