BoneName,PosX,PosY,PosZ,RotX,RotY,RotZ
hip,-1.19096756,0.932260633,0.430804,-0.03435152,0.6999778,-0.00293672574
spine,-1.23364127,1.01418889,0.42565763,0.706815362,0.0267962273,0.7068472
chest,-1.23540533,1.290796,0.4133306,-0.7201497,-0.0116492538,-0.693496764
neck,-1.23386919,1.49098432,0.405006558,-0.7269731,-0.0133574717,-0.685898
head,-1.23156917,1.59936023,0.398343176,-0.733614147,-0.0150623387,-0.6781273
leftShoulder,-1.212911,1.41636443,0.477007627,-0.493517071,0.417522669,-0.5414877
leftUpperArm,-1.23553312,1.42615056,0.607783556,0.008521365,0.999193668,-0.0371298678
leftLowerArm,-1.23968363,1.168848,0.626986444,-0.01606285,0.992548048,-0.118782885
leftHand,-1.22914326,0.8928592,0.69378823,0.158271432,-0.983284235,-0.0469793677
rightShoulder,-1.21818066,1.41062534,0.338015258,-0.5233487,-0.625149369,-0.392878622
rightUpperArm,-1.26077938,1.39152789,0.213393748,-0.009963806,-0.05021764,-0.173555017
rightLowerArm,-1.17294383,1.14907336,0.203838632,0.058847595,0.0246946,0.441304415
rightHand,-0.949285865,0.977565169,0.167711049,0.1685141,0.0553042479,-0.325766742
leftUpLeg,-1.19257283,0.9364475,0.510763168,-0.009780797,-0.9969373,0.0296111964
leftLeg,-1.1990881,0.5101596,0.5365798,-0.009780911,-0.9969373,0.0296112671
leftFoot,-1.20552969,0.082921,0.563067436,-0.5544526,0.500907958,-0.384801149
leftToe,-1.08607233,0.0104820728,0.5278298,-0.578269839,0.483087957,-0.406948119
leftToeEnd,0.0,0.0,0.0,0.0,0.0,0.0
rightUpLeg,-1.18936229,0.9280738,0.3508449,0.0340764858,-0.0190622769,0.0276996437
rightLeg,-1.16517234,0.5026026,0.322219968,0.0364737548,-0.0222409684,-0.102194965
rightFoot,-1.2514081,0.08461887,0.288620472,-0.5941315,0.324055284,-0.3342634
rightToe,-1.1458962,0.0139853954,0.220522553,-0.61063683,0.31544134,-0.342404425
rightToeEnd,0.0,0.0,0.0,0.0,0.0,0.0
leftThumbProximal,-1.19634116,0.8818264,0.6959739,0.4175977,-0.737309933,-0.212149888
leftThumbMedial,-1.18017542,0.859658,0.6675556,0.03400388,-0.8426093,-0.0525151528
leftThumbDistal,-1.18014157,0.8299104,0.6638113,0.007766667,-0.839026153,-0.0937201157
leftThumbTip,-1.18313539,0.7962643,0.6581394,0.007768714,-0.839026332,-0.09371767
leftIndexProximal,-1.17544687,0.826973438,0.6923588,0.2747018,0.00326303043,0.0407794528
leftIndexMedial,-1.17195058,0.7883485,0.668242931,-0.274002522,-0.00323336152,-0.0407817736
leftIndexDistal,-1.16979825,0.7645639,0.6534411,-0.273536265,-0.0032135814,-0.04078331
leftIndexTip,-1.167688,0.741241038,0.638957441,-0.273536563,-0.0032120375,-0.0407826155
leftMiddleProximal,-1.19807088,0.817929566,0.6881556,-0.01738823,0.986745238,0.150118142
leftMiddleMedial,-1.19562972,0.7731867,0.6743624,0.0271644685,-0.946991146,-0.315292835
