BoneName,PosX,PosY,PosZ,RotX,RotY,RotZ
hip,-1.23163247,0.9388458,0.463622242,-0.000453799847,0.6064883,0.0582756065
spine,-1.27697575,1.01936877,0.459172279,0.636862755,-0.005538642,0.769973
chest,-1.27890038,1.29589868,0.469975978,-0.694136143,0.0175105073,-0.719630539
neck,-1.274034,1.496143,0.475029528,-0.7075936,0.00225256081,-0.7063601
head,-1.27076948,1.60466814,0.4724516,-0.7203771,-0.0130075347,-0.6924167
leftShoulder,-1.2595309,1.41663635,0.543293,-0.5225311,0.392761678,-0.480287164
leftUpperArm,-1.27966714,1.41762507,0.6748355,-0.245464414,0.9640435,-0.0309601519
leftLowerArm,-1.15598679,1.19116521,0.677950859,-0.440069675,0.8913829,-0.037653774
leftHand,-0.930879,1.01787591,0.6715732,0.5548878,-0.818839669,-0.139017671
rightShoulder,-1.25447071,1.42002332,0.404215664,-0.5615579,-0.5823895,-0.409743428
rightUpperArm,-1.29555869,1.41556168,0.27771765,0.008615198,-0.1268329,0.174866557
rightLowerArm,-1.38310933,1.17333,0.293505818,0.0572276525,0.1436046,-0.0410102829
rightHand,-1.41078651,0.8919935,0.2647491,0.07234688,-0.127183571,0.144952938
leftUpLeg,-1.25225842,0.9314885,0.5406547,0.09232862,-0.9949563,0.00462259259
leftLeg,-1.17363179,0.5116702,0.5415126,-0.0484325737,-0.9977185,0.01078041
leftFoot,-1.21452594,0.08568174,0.5532362,-0.5536356,0.489052862,-0.3937843
leftToe,-1.0940305,0.0145495757,0.518881857,-0.5671387,0.479055345,-0.405887753
leftToeEnd,0.0,0.0,0.0,0.0,0.0,0.0
rightUpLeg,-1.21100652,0.9462032,0.386589736,0.06231693,-0.0236103255,0.42290175
rightLeg,-0.8832724,0.6751788,0.347011,0.0698659346,0.007946464,-0.36108762
rightFoot,-1.171214,0.362971961,0.293230027,-0.43763724,0.361546,-0.250843167
rightToe,-1.10022247,0.24549973,0.2494164,-0.4287683,0.364351422,-0.2467507
rightToeEnd,0.0,0.0,0.0,0.0,0.0,0.0
leftThumbProximal,-0.90200907,1.0365057,0.666889131,0.694296062,-0.418844968,-0.06204803
leftThumbMedial,-0.8818878,1.03539157,0.6329147,0.4114622,-0.68131566,0.127988786
leftThumbDistal,-0.8605363,1.01654375,0.623544,0.378103584,-0.6873519,0.09010811
leftThumbTip,-0.8389452,0.9926418,0.6118943,0.37810576,-0.6873513,0.0901101455
leftIndexProximal,-0.848506451,1.01834309,0.6505772,0.294439644,0.221034274,0.433060437
leftIndexMedial,-0.821907043,0.997722,0.6197076,-0.294013053,-0.220809758,-0.433174878
leftIndexDistal,-0.805524349,0.9850271,0.6007371,-0.29372862,-0.220660046,-0.4332511
leftIndexTip,-0.78945756,0.9725807,0.5821594,-0.293729484,-0.220658839,-0.433250368
leftMiddleProximal,-0.8564112,0.995032966,0.6482403,0.436046749,-0.8682271,-0.214823753
leftMiddleMedial,-0.8229153,0.970304847,0.62668395,0.4128649,-0.8192278,-0.358933777
