BoneName,PosX,PosY,PosZ,RotX,RotY,RotZ
hip,-1.21418464,0.939945042,0.371174425,-0.09380326,0.72010237,0.0165459178
spine,-1.26594377,1.01633954,0.364492923,0.7065329,0.07369236,0.70382905
chest,-1.2791059,1.2915374,0.339269519,-0.677091241,-0.03317427,-0.7346859
neck,-1.28041041,1.49118972,0.322408736,-0.6957368,-0.007117319,-0.7172775
head,-1.27563071,1.5994767,0.315620333,-0.713366568,0.0189500265,-0.698821843
leftShoulder,-1.26672816,1.42013538,0.399581432,-0.466176033,0.369430482,-0.586476
leftUpperArm,-1.30670691,1.436444,0.5254607,0.201936021,0.975261569,-0.07551257
leftLowerArm,-1.4102509,1.20238078,0.558379352,0.193700433,0.973414242,-0.115747705
leftHand,-1.51481891,0.9471638,0.626740456,-0.03169547,-0.9947691,-0.0620046854
rightShoulder,-1.255351,1.40853369,0.261322439,-0.453033,-0.6308874,-0.451682061
rightUpperArm,-1.2786454,1.38438141,0.1325439,-0.06719042,0.00243594963,-0.351988226
rightLowerArm,-1.10896337,1.19260287,0.100612745,0.0752314851,0.0163728949,0.6335846
rightHand,-0.832469463,1.13980055,0.06180395,0.129615858,0.0562758781,-0.424629122
leftUpLeg,-1.21117008,0.9489427,0.450694978,0.500754356,-0.824534357,0.1372476
leftLeg,-0.832104445,0.752119541,0.451188117,-0.388969481,-0.888068736,0.244547814
leftFoot,-1.13096178,0.505036056,0.632599,-0.2881326,0.489011228,-0.310144037
leftToe,-1.06766188,0.375674,0.6368113,-0.270085961,0.496181846,-0.29853797
leftToeEnd,0.0,0.0,0.0,0.0,0.0,0.0
rightUpLeg,-1.21719921,0.930947363,0.291653842,0.07084219,0.03545957,0.00715763448
rightLeg,-1.22543991,0.5081595,0.351761371,0.07084224,0.0354595669,0.00715765776
rightFoot,-1.23365664,0.08430582,0.411397249,-0.6208876,0.270163834,-0.34985584
rightToe,-1.125772,0.0251089372,0.336458623,-0.6208876,0.270163834,-0.34985584
rightToeEnd,0.0,0.0,0.0,0.0,0.0,0.0
leftThumbProximal,-1.48836315,0.9247486,0.6270984,0.2939106,-0.768688858,-0.324387431
leftThumbMedial,-1.48246658,0.900385141,0.596569359,-0.131654784,-0.810238957,-0.1349782
leftThumbDistal,-1.49335468,0.872534633,0.5943922,-0.158736914,-0.802636445,-0.174588338
leftThumbTip,-1.50863409,0.8420968,0.590749443,-0.158734828,-0.8026369,-0.174586058
leftIndexProximal,-1.48923063,0.8663874,0.6199076,0.2780939,-0.0112156831,-0.131717265
leftIndexMedial,-1.50039208,0.8293665,0.595606148,-0.277953744,0.01119626,0.131718978
leftIndexDistal,-1.50725961,0.8065859,0.5806623,-0.277860284,0.0111833112,0.131720126
leftIndexTip,-1.51399,0.7842581,0.5660214,-0.277860284,0.01118488,0.131720826
leftMiddleProximal,-1.51366389,0.8665555,0.616127253,0.151505888,0.977649033,0.1332732
leftMiddleMedial,-1.52681494,0.823489,0.6030711,-0.13783668,-0.935645163,-0.313253075
leftMiddleDistal,-1.53311992,0.7998093,0.5842084,-0.125992,-0.8892312,-0.4275828
leftMiddleTip,-1.53719258,0.7817864,0.5606899,-0.12599203,-0.8892313,-0.4275826
leftRingProximal,-1.53676248,0.872866154,0.610593438,0.133336589,0.979816139,0.08802808
leftRingMedial,-1.54727864,0.831310034,0.601636469,-0.124491625,-0.971118331,-0.157218471
leftRingDistal,-1.55295932,0.805339,0.592103064,-0.118243985,-0.9626043,-0.202932075
leftRingTip,-1.5577122,0.7808753,0.5804826,-0.118244022,-0.962604344,-0.202931777
