BoneName,PosX,PosY,PosZ,RotX,RotY,RotZ
hip,-1.23056889,0.940932333,0.450778633,-0.00636304449,0.6308578,0.05668225
spine,-1.27668452,1.02109063,0.44799,0.6573441,-0.0010675994,0.752833843
chest,-1.275622,1.29770517,0.454114169,-0.7069885,0.0159456618,-0.7069371
neck,-1.26760137,1.49790931,0.455127776,-0.716818,0.007834073,-0.6968693
head,-1.26305318,1.60639572,0.4528898,-0.726392269,-0.000280303328,-0.6865534
leftShoulder,-1.2517854,1.4194783,0.5243374,-0.5219306,0.392288357,-0.486566424
leftUpperArm,-1.2724638,1.421916,0.655776858,-0.23438257,0.9685947,-0.0253661126
leftLowerArm,-1.154262,1.19254911,0.658896744,-0.376792759,0.919047058,-0.06803466
leftHand,-0.9538459,0.99170965,0.674399555,0.4947142,-0.863328338,-0.09378478
rightShoulder,-1.25178146,1.420183,0.385128617,-0.5460555,-0.5995607,-0.407913178
rightUpperArm,-1.29337764,1.41075289,0.259070277,0.0108177373,-0.110349268,0.124965876
rightLowerArm,-1.35635018,1.16082144,0.271692336,0.06785016,0.109408073,0.004773795
rightHand,-1.35787892,0.879297256,0.233157709,0.0567929074,-0.0590950362,0.159874752
leftUpLeg,-1.24639452,0.934550166,0.5290243,0.06316834,-0.996776462,0.0126659209
leftLeg,-1.19209027,0.510977149,0.537229061,-0.0272707567,-0.998116851,0.0172966979
leftFoot,-1.21455836,0.08378273,0.553843439,-0.55506283,0.48822692,-0.3931167
leftToe,-1.09402585,0.0129254758,0.5190536,-0.573958158,0.474093229,-0.4100513
leftToeEnd,0.0,0.0,0.0,0.0,0.0,0.0
rightUpLeg,-1.21474326,0.94731456,0.372532964,0.06304828,-0.0204408541,0.423966765
rightLeg,-0.886514068,0.677139,0.3312887,0.07098355,0.004616085,-0.351737827
rightFoot,-1.16787183,0.359360516,0.275337815,-0.437081635,0.3628112,-0.230258286
rightToe,-1.10215008,0.239794284,0.229037374,-0.427372634,0.3656038,-0.225797951
rightToeEnd,0.0,0.0,0.0,0.0,0.0,0.0
leftThumbProximal,-0.922305048,1.00552881,0.6703154,0.639081657,-0.492247671,-0.07084725
leftThumbMedial,-0.900736034,0.9986907,0.6379366,0.33655405,-0.7231621,0.124437124
leftThumbDistal,-0.881737947,0.976429164,0.631422341,0.307104439,-0.728409648,0.08869905
leftThumbTip,-0.862731338,0.949177265,0.623099148,0.3071066,-0.7284091,0.0887012
leftIndexProximal,-0.8712982,0.978563,0.6589296,0.267895818,0.188363329,0.370103836
leftIndexMedial,-0.846519,0.9519601,0.6312897,-0.267299473,-0.188109413,-0.370233029
leftIndexDistal,-0.8312539,0.93558085,0.6143153,-0.266901851,-0.187940091,-0.370319068
leftIndexTip,-0.8162808,0.9195212,0.5976996,-0.266902626,-0.18793878,-0.370318353
leftMiddleProximal,-0.8824535,0.956529558,0.657751441,0.372527838,-0.9093903,-0.170316011
