BoneName,PosX,PosY,PosZ,RotX,RotY,RotZ
hip,-1.20352662,0.922639668,0.413646,-0.07855819,0.723315835,0.0296594389
spine,-1.254993,0.999458432,0.41050458,0.7101279,0.06719916,0.700801551
chest,-1.26926875,1.27443123,0.3833336,-0.681639552,-0.0442508757,-0.7296201
neck,-1.27181828,1.47358751,0.361484259,-0.699610949,-0.0220081564,-0.7134011
head,-1.269979,1.58184409,0.3529904,-0.716825962,0.0002583593,-0.6964108
leftShoulder,-1.25672436,1.40456426,0.4402214,-0.468214244,0.385252625,-0.57993263
leftUpperArm,-1.29269671,1.41934848,0.5674899,0.229715481,0.965412259,-0.08203618
leftLowerArm,-1.41105115,1.1920042,0.5974469,0.201934189,0.969578147,-0.1290093
leftHand,-1.52598488,0.9404832,0.6627983,0.0141670322,-0.9822495,-0.0427956358
rightShoulder,-1.24717367,1.38953924,0.3021539,-0.449219942,-0.642261565,-0.445507616
rightUpperArm,-1.27265751,1.36299694,0.174263492,-0.09083346,0.0336294137,-0.3539076
rightLowerArm,-1.10116792,1.17384577,0.136796832,0.08429191,-0.05512803,0.73598
rightHand,-0.8185132,1.20156252,0.127785191,0.195165977,0.168099388,-0.553284645
leftUpLeg,-1.1996721,0.9284849,0.4934241,0.447994441,-0.8672461,0.08220502
leftLeg,-0.8536632,0.6785836,0.4773775,-0.345601916,-0.914113939,0.201244548
leftFoot,-1.11249435,0.387618542,0.655202448,-0.352922976,0.5051266,-0.32351312
leftToe,-1.0362401,0.2656738,0.6466041,-0.3424153,0.509790063,-0.3161136
leftToeEnd,0.0,0.0,0.0,0.0,0.0,0.0
rightUpLeg,-1.20738113,0.9167945,0.333867937,0.0558075234,0.06165891,-0.06086388
rightLeg,-1.1586051,0.4955008,0.3844928,0.04596088,0.07739459,0.0806149542
rightFoot,-1.2300781,0.07470277,0.4176063,-0.6308358,0.29543817,-0.332244724
rightToe,-1.12384558,0.0152704529,0.340524375,-0.6308358,0.29543817,-0.332244724
rightToeEnd,0.0,0.0,0.0,0.0,0.0,0.0
leftThumbProximal,-1.49879169,0.920270443,0.6701775,0.342861325,-0.8164979,-0.252905875
leftThumbMedial,-1.48446023,0.8951094,0.6433093,-0.090862304,-0.874564052,-0.143479869
leftThumbDistal,-1.493133,0.8668566,0.638259351,-0.119993754,-0.863477349,-0.19963856
leftThumbTip,-1.50634885,0.8363212,0.6301279,-0.119991951,-0.8634779,-0.199636042
leftIndexProximal,-1.49407136,0.8617748,0.666374743,0.294487476,-0.120634153,-0.07819846
leftIndexMedial,-1.49757469,0.82458514,0.6401004,-0.294238,0.1206135,0.07823032
leftIndexDistal,-1.49973392,0.801697135,0.6239477,-0.294071674,0.120599732,0.0782515556
leftIndexTip,-1.50185239,0.779261649,0.608125269,-0.2940718,0.120601274,0.07825225
leftMiddleProximal,-1.51702547,0.8598472,0.657391369,0.116170689,0.963169754,0.17563282
leftMiddleMedial,-1.52476358,0.8171208,0.6397078,-0.08991657,-0.9261761,-0.317397058
leftMiddleDistal,-1.52632809,0.7929277,0.6205107,-0.0712489262,-0.8899034,-0.408184946
leftMiddleTip,-1.52546382,0.773289144,0.597969353,-0.07124898,-0.889903545,-0.408184737
leftRingProximal,-1.53871346,0.864069939,0.646630943,0.109444208,0.963401556,0.0935041
leftRingMedial,-1.54609632,0.822092831,0.6365738,-0.09546632,-0.955917,-0.1520139
leftRingDistal,-1.54925561,0.7956703,0.627112448,-0.0859468356,-0.948952138,-0.190722764
leftRingTip,-1.55126512,0.770579636,0.6160437,-0.08594691,-0.9489522,-0.190722466
leftLittleProximal,-1.556805,0.87468034,0.637549341,0.143552244,0.888566136,0.208091423
leftLittleMedial,-1.56019938,0.8437746,0.6205505,-0.113709085,-0.869946539,-0.275762141
leftLittleDistal,-1.55978179,0.8254647,0.6078747,-0.0934267,-0.854665041,-0.31999895
leftLittleTip,-1.55762565,0.8078194,0.5937773,-0.09342657,-0.8546649,-0.319999129
rightThumbProximal,-0.792996168,1.22140515,0.140340313,-0.0275059231,-0.6475022,0.712971568
rightThumbMedial,-0.779325366,1.22212267,0.177393869,-0.153844774,0.679619,-0.417736083
rightThumbDistal,-0.758450747,1.204024,0.189039156,-0.0850942954,0.723532438,-0.335985541
rightThumbTip,-0.740492642,1.17800152,0.202212468,-0.08509594,0.723531663,-0.335987628
rightIndexProximal,-0.744571447,1.205286,0.169558465,-0.23237434,-0.4313658,0.4540058
rightIndexMedial,-0.7228672,1.18337572,0.203241333,0.278796673,0.459111542,-0.425927669
rightIndexDistal,-0.7126343,1.169841,0.225636229,0.309142947,0.476603121,-0.406260133
rightIndexTip,-0.7047357,1.156658,0.248483688,0.309142917,0.476602942,-0.406260043
rightMiddleProximal,-0.7514196,1.18153274,0.169124335,-0.2937504,-0.317623526,0.428210467
rightMiddleMedial,-0.7283118,1.15993345,0.203731373,0.358056575,0.351791382,-0.400614262
rightMiddleDistal,-0.717110336,1.14686489,0.229422271,0.39960885,0.3732599,-0.380691469
rightMiddleTip,-0.7090515,1.13517725,0.255746633,0.399608582,0.373259783,-0.380691558
rightRingProximal,-0.764151,1.16053689,0.168084666,-0.354848742,-0.212308958,0.384791
rightRingMedial,-0.7429392,1.14074147,0.20088613,0.426233023,0.245413244,-0.3645704
rightRingDistal,-0.732565463,1.13026857,0.224976271,0.4720174,0.2664388,-0.349499077
rightRingTip,-0.7247925,1.12174153,0.249935359,0.472017318,0.266438782,-0.3494991
rightLittleProximal,-0.780826,1.1453563,0.164362654,-0.385213,-0.132092819,0.3655423
rightLittleMedial,-0.7627494,1.12990761,0.190634549,0.412068039,0.143840358,-0.361081153
rightLittleDistal,-0.752134144,1.12100613,0.208075315,0.42973417,0.151589409,-0.357897
rightLittleTip,-0.741854131,1.11250973,0.226429343,0.42973417,0.1515894,-0.357897
