BoneName,PosX,PosY,PosZ,RotX,RotY,RotZ
hip,-1.15933919,0.9358708,0.572129846,-0.0311885625,0.666463,0.0208867285
spine,-1.204128,1.01661479,0.566286862,0.6782522,0.014462986,0.7345558
chest,-1.20422542,1.29337156,0.570481062,-0.700705767,0.0190631337,-0.7131956
neck,-1.19882452,1.49359322,0.57588166,-0.720614,-0.006025058,-0.6932766
head,-1.19873917,1.60218,0.573905349,-0.739465356,-0.0311044082,-0.6723407
leftShoulder,-1.183244,1.41390359,0.6436929,-0.4737752,0.428357184,-0.5238386
leftUpperArm,-1.20780718,1.41360283,0.7744844,-0.0192602277,0.9996628,-0.013597996
leftLowerArm,-1.197793,1.15583825,0.7813913,-0.059041433,0.9939814,-0.09227735
leftHand,-1.16443229,0.8785046,0.8335113,0.278641284,-0.9489255,-0.0800098851
rightShoulder,-1.18073511,1.417589,0.504553735,-0.54388833,-0.6034236,-0.396216273
rightUpperArm,-1.22296441,1.40502679,0.378980041,-0.023469856,-0.09168525,-0.1066832
rightLowerArm,-1.16957808,1.15313351,0.361943275,0.0656138659,0.0212535821,0.409956545
rightHand,-0.958476067,0.966938555,0.323078156,0.175498366,0.08456269,-0.277682215
leftUpLeg,-1.1682111,0.936709166,0.651717246,0.05444794,-0.9962302,-0.00330103724
leftLeg,-1.12206507,0.5121323,0.645770431,0.0101495823,-0.997557342,-0.0002152067
leftFoot,-1.11332333,0.0841141939,0.6455987,-0.5662597,0.48011446,-0.369637161
leftToe,-0.9960146,0.012056917,0.6031067,-0.589831948,0.4637253,-0.3900006
leftToeEnd,0.0,0.0,0.0,0.0,0.0,0.0
rightUpLeg,-1.15046728,0.935032547,0.492542475,0.0668401,0.0344942249,0.143360242
rightLeg,-1.03158844,0.529286742,0.431974143,0.0560931079,0.02325284,-0.195653826
rightFoot,-1.19668829,0.136723578,0.388246477,-0.42719987,0.290237248,-0.317161471
rightToe,-1.11047137,0.0269568935,0.352510333,-0.517364442,0.251119018,-0.348953217
rightToeEnd,0.0,0.0,0.0,0.0,0.0,0.0
leftThumbProximal,-1.13025522,0.8756245,0.838621438,0.532613456,-0.6922969,-0.15222013
leftThumbMedial,-1.10668647,0.860365033,0.810836,0.152684674,-0.852966845,-0.018764751
leftThumbDistal,-1.09943807,0.831801832,0.805309355,0.123795018,-0.8504824,-0.06770749
leftThumbTip,-1.09457552,0.7989139,0.7970673,0.12379697,-0.8504824,-0.06770496
leftIndexProximal,-1.09611845,0.8279214,0.8344282,0.313650668,-0.005457298,0.17632252
leftIndexMedial,-1.080936,0.7940773,0.807786942,-0.3130821,0.0055647227,-0.176319122
leftIndexDistal,-1.07159173,0.7732355,0.791424155,-0.312702984,0.005636338,-0.176316813
leftIndexTip,-1.06243193,0.7527976,0.7754061,-0.31270352,0.00563779334,-0.176316068
leftMiddleProximal,-1.11529791,0.8140088,0.8273648,0.1467876,-0.9645925,-0.198736444
leftMiddleMedial,-1.10030127,0.7728483,0.81066,0.160089538,-0.9181258,-0.356342673
leftMiddleDistal,-1.0897429,0.751363039,0.7910849,0.166502446,-0.872813761,-0.456213951
