BoneName,PosX,PosY,PosZ,RotX,RotY,RotZ
hip,-1.3306638,0.958545864,0.275280416,-0.07811585,0.72988987,0.00907416
spine,-1.37990153,1.03673029,0.270525843,0.716876268,0.06081872,0.6945416
chest,-1.39238036,1.31257749,0.251706362,-0.689148664,-0.0260315835,-0.7240097
neck,-1.39539778,1.51259041,0.240182474,-0.7003577,-0.006804054,-0.712988
head,-1.39129424,1.620946,0.234081119,-0.7108873,0.0124300737,-0.701274753
leftShoulder,-1.378789,1.43962848,0.314963877,-0.4553359,0.381611675,-0.5761129
leftUpperArm,-1.41861951,1.45007169,0.441511631,0.13929072,0.9878042,-0.0553858951
leftLowerArm,-1.49083412,1.2036165,0.466720253,0.21255672,0.972419262,-0.0954285
leftHand,-1.60772133,0.9503145,0.5207471,-0.101462729,-0.9896613,-0.03433246
rightShoulder,-1.37186539,1.43173516,0.176149741,-0.4822905,-0.6098445,-0.448658526
rightUpperArm,-1.39752579,1.41414177,0.0467592776,-0.0357407033,-0.0415280461,-0.279759765
rightLowerArm,-1.259898,1.1971426,0.0230832379,0.0227862243,0.0311237462,0.5357483
rightHand,-1.00348234,1.0764029,0.00268461555,0.168537229,0.00168297277,-0.394990265
leftUpLeg,-1.32540679,0.9666912,0.354776233,0.405895174,-0.867450237,0.120142169
leftLeg,-0.9978045,0.6926391,0.353156835,-0.426204145,-0.8647902,0.2634705
leftFoot,-1.30582762,0.479763448,0.56071806,-0.2668602,0.50326395,-0.312093526
leftToe,-1.24599457,0.349054843,0.5704355,-0.24711524,0.51116395,-0.298979133
leftToeEnd,0.0,0.0,0.0,0.0,0.0,0.0
rightUpLeg,-1.33592081,0.9504006,0.1957846,0.04997314,0.0972208157,-0.008889098
rightLeg,-1.33252335,0.5254828,0.238954335,0.04997331,0.0972207859,-0.008889033
rightFoot,-1.32899809,0.09952143,0.281620324,-0.6056988,0.3087682,-0.3717958
rightToe,-1.215391,0.0394490436,0.21647498,-0.6056988,0.3087682,-0.3717958
rightToeEnd,0.0,0.0,0.0,0.0,0.0,0.0
leftThumbProximal,-1.58484459,0.924350262,0.522981942,0.244053185,-0.799441934,-0.323110849
leftThumbMedial,-1.58075857,0.897802532,0.494018346,-0.193615943,-0.813170254,-0.144309
leftThumbDistal,-1.594782,0.87131685,0.49312976,-0.220360115,-0.8047565,-0.18557477
leftThumbTip,-1.61352777,0.8427504,0.4907338,-0.2203581,-0.804757059,-0.18557249
leftIndexProximal,-1.594027,0.8664537,0.518274069,0.2521512,-0.05065393,-0.1940616
leftIndexMedial,-1.6096406,0.8300315,0.495573282,-0.2520634,0.05063595,0.194066241
leftIndexDistal,-1.61924732,0.807621241,0.481611758,-0.252004862,0.05062396,0.194069326
leftIndexTip,-1.62866235,0.7856575,0.4679319,-0.252004772,0.05062554,0.194069967
leftMiddleProximal,-1.618058,0.8699752,0.513645947,0.212102622,0.9659733,0.11631643
leftMiddleMedial,-1.63627148,0.828577936,0.50129,-0.192370757,-0.929726958,-0.286778063
leftMiddleDistal,-1.64506447,0.805029452,0.483278,-0.175729156,-0.8888512,-0.3956984
leftMiddleTip,-1.65085864,0.786334038,0.460662961,-0.1757292,-0.888851345,-0.3956982
leftRingProximal,-1.63982236,0.8792913,0.507049859,0.19143635,0.9700141,0.05954391
leftRingMedial,-1.65536976,0.839019656,0.499687582,-0.181877613,-0.9639094,-0.123901829
leftRingDistal,-1.66422379,0.8135126,0.49140206,-0.175054684,-0.95746696,-0.1665235
leftRingTip,-1.671997,0.7892256,0.481115431,-0.175054729,-0.957467,-0.1665232
leftLittleProximal,-1.65641785,0.893976867,0.501456439,0.243326917,0.9140769,0.1465973
leftLittleMedial,-1.66917372,0.864261,0.486968547,-0.222116783,-0.90132916,-0.211265951
leftLittleDistal,-1.67521214,0.8461736,0.4754583,-0.207342848,-0.890286148,-0.2538074
leftLittleTip,-1.67994678,0.828359544,0.462230057,-0.207342729,-0.8902861,-0.253807575
rightThumbProximal,-0.969733834,1.08346593,0.006376615,-0.0935148,-0.5435596,0.656889856
