BoneName,PosX,PosY,PosZ,RotX,RotY,RotZ
hip,-1.35540664,0.9476449,0.4439916,-0.013642177,0.6750582,0.0235160887
spine,-1.398692,1.02937651,0.44152388,0.6890777,-0.003965286,0.724606
chest,-1.38668132,1.30574334,0.448860079,-0.715404451,0.03922299,-0.69740814
neck,-1.37076008,1.505382,0.4550244,-0.7229165,0.00851027947,-0.690524161
head,-1.36608434,1.61386335,0.452804655,-0.729649544,-0.022211602,-0.682896256
leftShoulder,-1.35636151,1.42450893,0.5216861,-0.487508625,0.4347019,-0.5131858
leftUpperArm,-1.37600744,1.42478168,0.6533061,-0.0565181561,0.9925052,-0.0209323168
leftLowerArm,-1.34590769,1.168605,0.660927057,-0.0167647079,0.994811535,-0.0850022361
leftHand,-1.3338542,0.888717055,0.7084756,0.225109,-0.9605934,-0.123463064
rightShoulder,-1.359726,1.42907214,0.38259095,-0.56955564,-0.5873849,-0.378608257
rightUpperArm,-1.405164,1.42048538,0.257805,-0.004822189,-0.110016316,-0.0863090158
rightLowerArm,-1.36133134,1.16629052,0.250440568,0.0643468052,0.0752214938,0.211216733
rightHand,-1.24735785,0.909843564,0.205851912,0.1010589,-0.05810421,-0.209623814
leftUpLeg,-1.362413,0.946343,0.52375865,0.0139871836,-0.9984915,-0.0149298664
leftLeg,-1.35113239,0.5195819,0.5104153,-0.03890145,-0.997781038,-0.0121966517
leftFoot,-1.38485157,0.09288049,0.502363861,-0.5319773,0.487570047,-0.4330027
leftToe,-1.26047218,0.02369453,0.47995308,-0.5324828,0.487164527,-0.4334591
leftToeEnd,0.0,0.0,0.0,0.0,0.0,0.0
rightUpLeg,-1.34840024,0.948946834,0.364224553,0.0891957954,-0.00225503952,0.244503736
rightLeg,-1.14656258,0.579692543,0.2911273,0.08933349,-0.000319920771,-0.268863976
rightFoot,-1.3672806,0.2204183,0.217090487,-0.401377529,0.332032651,-0.305686682
rightToe,-1.28664243,0.104508564,0.188427374,-0.390505463,0.3361578,-0.30114466
rightToeEnd,0.0,0.0,0.0,0.0,0.0,0.0
leftThumbProximal,-1.29985666,0.8822976,0.710808337,0.550253749,-0.6794077,-0.194891781
leftThumbMedial,-1.277167,0.8697175,0.681021035,0.154226065,-0.850439668,-0.0534720346
leftThumbDistal,-1.27090538,0.841333,0.6736689,0.125307292,-0.8459766,-0.102129936
leftThumbTip,-1.26719809,0.8088713,0.6633884,0.125309259,-0.8459767,-0.102127425
leftIndexProximal,-1.27086186,0.8322255,0.7002927,0.324420363,-0.00625598757,0.133639768
leftIndexMedial,-1.25924635,0.79780066,0.6726215,-0.323897421,0.006330591,-0.133636191
leftIndexDistal,-1.25209773,0.776602566,0.6556223,-0.323548764,0.00638032658,-0.1336338
leftIndexTip,-1.24509025,0.7558161,0.638978839,-0.3235492,0.00638179528,-0.133633032
leftMiddleProximal,-1.29172373,0.820787966,0.6935645,0.107541293,-0.9642912,-0.230517909
leftMiddleMedial,-1.28040576,0.779970765,0.6734649,0.118701734,-0.909700632,-0.3942598
leftMiddleDistal,-1.27241111,0.7595321,0.6516789,0.124162517,-0.8578203,-0.497132063
leftMiddleTip,-1.26485527,0.7453288,0.6264657,0.1241625,-0.8578204,-0.497131854
leftRingProximal,-1.31436861,0.815506637,0.685607851,0.120002121,-0.9725576,-0.16243872
leftRingMedial,-1.30250335,0.775287,0.6729856,0.125290647,-0.9638641,-0.207895815
leftRingDistal,-1.29439306,0.7503724,0.662443459,0.128663808,-0.956887,-0.237953454
leftRingTip,-1.28623807,0.726899266,0.65067035,0.128663778,-0.956887066,-0.237953156
leftLittleProximal,-1.33634126,0.817450464,0.6796259,-0.0407442935,0.909961164,0.3122705
leftLittleMedial,-1.32774258,0.789043963,0.660266757,0.0609763674,-0.8838193,-0.380007476
leftLittleDistal,-1.32083941,0.773368955,0.6460279,0.0742799044,-0.8635821,-0.423990935
leftLittleTip,-1.3128773,0.759088635,0.6302984,0.07427999,-0.863581955,-0.423991144
rightThumbProximal,-1.213454,0.902567,0.206102327,-0.116558358,-0.559677243,0.5195376
rightThumbMedial,-1.19254327,0.8854632,0.234922,-0.000106572596,0.5763124,-0.07931101
rightThumbDistal,-1.18867111,0.855858266,0.2376577,0.09730846,0.581662953,-0.009717648
rightThumbTip,-1.1920104,0.822261453,0.243427917,0.09730628,0.5816631,-0.009719347
rightIndexProximal,-1.18674266,0.8510874,0.21584101,-0.231670126,-0.1893756,0.167610392
rightIndexMedial,-1.17636919,0.8128864,0.238617033,0.287964344,0.199150324,-0.155869886
rightIndexDistal,-1.17150176,0.790814757,0.2553077,0.324925065,0.2052656,-0.147723615
rightIndexTip,-1.16776109,0.770295262,0.273283929,0.324924976,0.205265388,-0.147723481
rightMiddleProximal,-1.20839512,0.839880645,0.21995005,-0.232467368,-0.0566564649,0.152629077
rightMiddleMedial,-1.19590676,0.800248,0.24166283,0.297304451,0.06693111,-0.148410991
rightMiddleDistal,-1.18850207,0.776153266,0.25957635,0.339782447,0.07361128,-0.145213559
rightMiddleTip,-1.18195212,0.754411936,0.2790425,0.339782119,0.0736112446,-0.145213544
rightRingProximal,-1.23178375,0.834791243,0.22552374,-0.253478944,0.0729683861,0.124898858
rightRingMedial,-1.21970081,0.7979931,0.245959848,0.303306341,-0.0663156658,-0.128554761
rightRingDistal,-1.21172559,0.775880635,0.261614442,0.336070567,-0.06177767,-0.13079603
rightRingTip,-1.20388949,0.7555354,0.278370142,0.336070448,-0.0617776774,-0.13079603
rightLittleProximal,-1.25415027,0.83701396,0.229665563,-0.26181826,0.140132979,0.10509976
rightLittleMedial,-1.24448085,0.807220042,0.24623245,0.263304532,-0.139968187,-0.105319157
rightLittleDistal,-1.23838842,0.7885291,0.2567029,0.264295042,-0.139858142,-0.105465285
rightLittleTip,-1.23217273,0.7695153,0.26740706,0.264295042,-0.139858156,-0.105465278
