BoneName,PosX,PosY,PosZ,RotX,RotY,RotZ
hip,-1.26001108,0.94885,0.474306822,0.0101199755,0.6190735,0.04959363
spine,-1.30339837,1.03052258,0.4716813,0.6423551,-0.0183142051,0.7655205
chest,-1.29760611,1.30679214,0.4870565,-0.686571956,0.0346583873,-0.7262274
neck,-1.28707838,1.50667346,0.496204585,-0.7036834,0.005310904,-0.7104436
head,-1.28496337,1.61525667,0.495733142,-0.7197896,-0.0240441673,-0.693645239
leftShoulder,-1.2762531,1.42546785,0.5631375,-0.488709867,0.402293742,-0.5063563
leftUpperArm,-1.30284667,1.42419946,0.693525553,-0.2041834,0.976080537,-0.0332951732
leftLowerArm,-1.19883835,1.18823719,0.7032542,-0.363682836,0.9284243,-0.0471509434
leftHand,-1.00535417,0.9805138,0.715835333,0.45645383,-0.8748542,-0.1613897
rightShoulder,-1.26828837,1.4314034,0.4242817,-0.5567072,-0.5734512,-0.429200947
rightUpperArm,-1.30519485,1.42984271,0.296432734,-0.0168343,-0.111361496,0.12945956
rightLowerArm,-1.37198567,1.18058717,0.295314372,0.0943532139,0.107435331,-0.01868829
rightHand,-1.38825655,0.901691556,0.243394867,0.08247912,-0.09285709,0.14480181
leftUpLeg,-1.27831662,0.9416213,0.551935554,-0.008842827,-0.9970847,0.0123330653
leftLeg,-1.28506052,0.51469934,0.5630049,-0.008842961,-0.9970846,0.01233306
leftFoot,-1.29172778,0.086804,0.5747115,-0.547015548,0.475695759,-0.414215684
leftToe,-1.1689446,0.0177446827,0.5444747,-0.5475696,0.475278467,-0.4146946
leftToeEnd,0.0,0.0,0.0,0.0,0.0,0.0
rightUpLeg,-1.24170554,0.9560787,0.3966781,0.07640307,-0.0286482275,0.365802228
rightLeg,-0.950130939,0.648253262,0.3451212,0.09101241,-0.008721057,-0.399782568
rightFoot,-1.26158667,0.3641822,0.270456254,-0.4077031,0.318266749,-0.318284273
rightToe,-1.17713284,0.25118196,0.241170213,-0.397482276,0.322321951,-0.314177126
rightToeEnd,0.0,0.0,0.0,0.0,0.0,0.0
leftThumbProximal,-0.972888768,0.992102265,0.7120691,0.6605025,-0.485352069,-0.122429319
leftThumbMedial,-0.9529754,0.9882511,0.6781723,0.336028129,-0.728008032,0.05376414
leftThumbDistal,-0.9363874,0.9652131,0.668527067,0.295923442,-0.7299699,0.005488867
leftThumbTip,-0.921357632,0.9369624,0.656312466,0.295925677,-0.7299696,0.0054910155
leftIndexProximal,-0.9248923,0.962754548,0.6949359,0.34520933,0.176736578,0.335489661
leftIndexMedial,-0.90415746,0.9382504,0.662450552,-0.3448379,-0.176591352,-0.335566252
leftIndexDistal,-0.891387761,0.9231635,0.6424818,-0.344590247,-0.176494524,-0.3356173
leftIndexTip,-0.8788649,0.908371,0.622923,-0.344590962,-0.176493242,-0.335616469
leftMiddleProximal,-0.9379758,0.942062438,0.6914772,0.332871437,-0.9055796,-0.254421115
leftMiddleMedial,-0.911291,0.9116376,0.6678047,0.317906976,-0.8529636,-0.396557361
leftMiddleDistal,-0.8974358,0.8966905,0.6445475,0.303304523,-0.80545,-0.4858548
leftMiddleTip,-0.8872495,0.8864047,0.61837554,0.303304553,-0.805450141,-0.485854626
