BoneName,PosX,PosY,PosZ,RotX,RotY,RotZ
hip,-1.40642345,0.9377725,0.422846884,-0.005901345,0.6140339,0.0363135561
spine,-1.44961452,1.01932156,0.4162099,0.639921665,-0.00643182127,0.7680784
chest,-1.44445407,1.29583931,0.427026868,-0.689036369,0.0311076734,-0.724043667
neck,-1.43450332,1.49581,0.434756845,-0.6968933,0.01756362,-0.7166978
head,-1.4288286,1.60426629,0.434558243,-0.704391837,0.004010533,-0.7089833
leftShoulder,-1.42297208,1.41509318,0.502161443,-0.4754333,0.3995931,-0.5034576
leftUpperArm,-1.45289826,1.40963876,0.6317166,-0.2218445,0.973193645,-0.0118994238
leftLowerArm,-1.34110689,1.1770606,0.6308831,-0.3854841,0.9227066,-0.00176059082
leftHand,-1.13896322,0.977357566,0.6310675,0.502896547,-0.829476058,-0.242750123
rightShoulder,-1.41595411,1.420115,0.363218576,-0.576670051,-0.5462412,-0.435758561
rightUpperArm,-1.45069873,1.426086,0.234894633,-0.0223227665,-0.128382578,0.184745654
rightLowerArm,-1.5450567,1.18590665,0.235913485,0.08587245,0.0787313953,-0.165413991
rightHand,-1.640961,0.921493948,0.195522666,0.108887352,-0.152057588,0.1972141
leftUpLeg,-1.425907,0.9337672,0.5004221,0.05582193,-0.997454464,0.00281414762
leftLeg,-1.37823665,0.5093172,0.500708342,-0.06634355,-0.996644,0.008399734
leftFoot,-1.4344517,0.0850457847,0.511173546,-0.5420357,0.489610374,-0.4166136
leftToe,-1.31145716,0.01518786,0.4837623,-0.54994756,0.483421654,-0.4237792
leftToeEnd,0.0,0.0,0.0,0.0,0.0,0.0
rightUpLeg,-1.38693988,0.9417779,0.345271677,0.06497454,-0.0760028362,0.3186162
rightLeg,-1.12617159,0.604984641,0.313640237,0.109151438,-0.04598759,-0.374204129
rightFoot,-1.41645789,0.307076067,0.212347582,-0.398306519,0.355637968,-0.314844251
rightToe,-1.334192,0.1916211,0.186625376,-0.3880741,0.3597001,-0.3101955
rightToeEnd,0.0,0.0,0.0,0.0,0.0,0.0
leftThumbProximal,-1.10806131,0.9930008,0.6293808,0.731146157,-0.4455872,-0.154420838
leftThumbMedial,-1.08833754,0.9976163,0.59546864,0.436240345,-0.7161549,0.0176110845
leftThumbDistal,-1.06902862,0.979064345,0.5819805,0.4098378,-0.7161817,-0.0164835341
leftThumbTip,-1.04955888,0.95633775,0.5653185,0.409839869,-0.716181457,-0.016481379
leftIndexProximal,-1.05755413,0.972812,0.6070219,0.390880585,0.151795581,0.3962067
leftIndexMedial,-1.03341377,0.955436349,0.572366238,-0.390484869,-0.151603609,-0.396280259
leftIndexDistal,-1.0185467,0.9447324,0.5510629,-0.390221,-0.151475608,-0.396329224
leftIndexTip,-1.003967,0.934233665,0.5301967,-0.390221834,-0.151474416,-0.39632833
leftMiddleProximal,-1.06836855,0.9517558,0.599880755,0.384245276,-0.867014766,-0.313538641
leftMiddleMedial,-1.03855026,0.9279339,0.5726499,0.3743694,-0.817454755,-0.426367044
leftMiddleDistal,-1.02223706,0.9169214,0.5487985,0.3640499,-0.776220739,-0.497496247
leftMiddleTip,-1.00926447,0.9097453,0.5228226,0.364049941,-0.776220858,-0.497496068
leftRingProximal,-1.0844543,0.934543967,0.59288156,0.40451777,-0.8720665,-0.275435627
leftRingMedial,-1.0535388,0.911728263,0.571871936,0.403982043,-0.856105566,-0.32163325
leftRingDistal,-1.03438175,0.8985475,0.555843,0.402983516,-0.844102561,-0.3519309
leftRingTip,-1.01635623,0.886792243,0.538726,0.402983546,-0.8441027,-0.351930618
leftLittleProximal,-1.10393512,0.923183262,0.5891679,0.286456376,-0.839938939,-0.448719978
leftLittleMedial,-1.08353364,0.907833457,0.5645954,0.29304114,-0.80698,-0.505599141
leftLittleDistal,-1.07107747,0.9007729,0.5475338,0.2966571,-0.7828582,-0.542199433
leftLittleTip,-1.05877435,0.895418,0.529239,0.296657115,-0.782858,-0.5421997
rightThumbProximal,-1.62346351,0.891558,0.195128068,-0.3296909,-0.382006943,0.242384911
rightThumbMedial,-1.61754608,0.865285337,0.224026218,0.2602136,0.4607556,0.2058806
rightThumbDistal,-1.63489771,0.841905057,0.2311823,0.340803534,0.437991649,0.2506908
rightThumbTip,-1.65874481,0.81991446,0.2421789,0.340801448,0.437992483,0.250689477
rightIndexProximal,-1.64178693,0.8378004,0.210387871,-0.276976734,-0.0161378533,-0.224424437
