BoneName,PosX,PosY,PosZ,RotX,RotY,RotZ
hip,-1.1195308,0.9323347,0.5191883,-0.00178015931,0.711143136,0.0208029132
spine,-1.16120982,1.01488912,0.521907747,0.706623137,0.00213161786,0.7074169
chest,-1.16583252,1.29174471,0.5244926,-0.6974197,-0.00283513661,-0.7166405
neck,-1.16803646,1.492099,0.525051653,-0.7104611,-0.00458169449,-0.7035965
head,-1.16671658,1.60066116,0.522304654,-0.72302413,-0.006325169,-0.6900788
leftShoulder,-1.15015328,1.414712,0.5949299,-0.475493878,0.415026337,-0.542317748
leftUpperArm,-1.177677,1.42008924,0.7250198,0.09624692,0.9945022,-0.0349335968
leftLowerArm,-1.22747207,1.16744828,0.74186,0.0512774251,0.9951398,-0.03713518
leftHand,-1.25806391,0.8855725,0.7606634,0.252042,-0.937734246,-0.103597447
rightShoulder,-1.146372,1.41514182,0.4557713,-0.541961133,-0.60903275,-0.413166344
rightUpperArm,-1.1896013,1.4056741,0.330266446,-0.0172398761,-0.0187753458,-0.05161596
rightLowerArm,-1.1631732,1.149151,0.32088396,0.06987073,0.01468544,0.152679309
rightHand,-1.07822943,0.8810196,0.2804703,0.177950472,0.0441877022,-0.108805984
leftUpLeg,-1.11854458,0.930196,0.5992384,0.039616555,-0.993215442,0.0100328494
leftLeg,-1.083999,0.504504,0.604066133,-0.04712224,-0.992799938,0.01951729
leftFoot,-1.12210965,0.0786421,0.62563324,-0.5582826,0.436674863,-0.414824128
leftToe,-0.9991553,0.0127620548,0.5895609,-0.566746831,0.4304271,-0.421303421
leftToeEnd,0.0,0.0,0.0,0.0,0.0,0.0
rightUpLeg,-1.120517,0.9344735,0.439138174,0.0148541508,-0.100944079,-0.008642695
rightLeg,-1.12658012,0.5076071,0.42577073,0.0148542365,-0.100944087,-0.008642796
rightFoot,-1.132533,0.0797703,0.4117666,-0.6093192,0.31298548,-0.368214846
rightToe,-1.01918566,0.0200764723,0.345825642,-0.6093192,0.31298548,-0.368214846
rightToeEnd,0.0,0.0,0.0,0.0,0.0,0.0
leftThumbProximal,-1.225306,0.8801251,0.770649731,0.559898436,-0.711791337,-0.150603369
leftThumbMedial,-1.1985383,0.867182,0.7446434,0.165961251,-0.875779152,-0.07932236
leftThumbDistal,-1.19194531,0.8392287,0.7360361,0.129922047,-0.8666901,-0.148759723
leftThumbTip,-1.1888994,0.807649136,0.723127,0.12992388,-0.8666904,-0.14875713
leftIndexProximal,-1.19309318,0.8310842,0.7666734,0.332479537,-0.08011974,0.188762009
leftIndexMedial,-1.17478871,0.798766136,0.74009943,-0.3323483,0.08014682,-0.188751087
leftIndexDistal,-1.16352737,0.778878152,0.7237567,-0.3322608,0.08016487,-0.1887438
leftIndexTip,-1.15249109,0.759384751,0.70774436,-0.332261354,0.0801662952,-0.18874304
leftMiddleProximal,-1.21149588,0.819133759,0.7552788,-0.150435373,0.94705224,0.215294674
