BoneName,PosX,PosY,PosZ,RotX,RotY,RotZ
hip,-1.24846911,0.9437116,0.469459683,-0.000955753436,0.642513454,0.0429479741
spine,-1.29245973,1.02507067,0.4671605,0.6573014,-0.007427524,0.753078
chest,-1.2900008,1.30165172,0.477795541,-0.685612559,0.0242044628,-0.727559566
neck,-1.28260159,1.50178158,0.484146237,-0.7018066,0.004855329,-0.7122751
head,-1.28025162,1.61035788,0.4833112,-0.7173467,-0.0144983241,-0.696327
leftShoulder,-1.2707417,1.42170608,0.552255034,-0.479837447,0.403888673,-0.519648254
leftUpperArm,-1.29940224,1.42178023,0.682210565,-0.169190422,0.9849362,-0.0172067173
leftLowerArm,-1.21311927,1.17865539,0.688224435,-0.30908078,0.9498407,-0.0365250669
leftHand,-1.04564166,0.9495504,0.702561736,0.413786352,-0.8969018,-0.155887663
rightShoulder,-1.262409,1.42580581,0.413354516,-0.543827057,-0.5785985,-0.432410866
rightUpperArm,-1.29699147,1.4212085,0.284930259,-0.01731043,-0.0878720656,0.105953075
rightLowerArm,-1.35193026,1.16910541,0.2808882,0.104292192,0.08732063,0.0214036889
rightHand,-1.34505808,0.891393661,0.221121222,0.07443332,-0.06287607,0.162614733
leftUpLeg,-1.2621367,0.9385471,0.548200369,-0.0190846417,-0.9960721,0.0134125128
leftLeg,-1.27739668,0.5118932,0.561005235,-0.0190844983,-0.9960721,0.0134123834
leftFoot,-1.29258621,0.08426666,0.574449062,-0.5483528,0.470000535,-0.418507367
leftToe,-1.169074,0.0164494812,0.544370353,-0.548903465,0.4695816,-0.41897735
leftToeEnd,0.0,0.0,0.0,0.0,0.0,0.0
rightUpLeg,-1.23480153,0.948876143,0.390719026,0.06991248,-0.0119369952,0.268784761
rightLeg,-1.01353228,0.587647438,0.336091965,0.0737647042,-0.00318163424,-0.30920434
rightFoot,-1.26431072,0.24614495,0.274755865,-0.463957846,0.259005547,-0.357921749
rightToe,-1.16549909,0.149965525,0.232983157,-0.457652122,0.261929065,-0.355788
rightToeEnd,0.0,0.0,0.0,0.0,0.0,0.0
leftThumbProximal,-1.0120666,0.957780838,0.6998318,0.6379458,-0.5206768,-0.1371581
leftThumbMedial,-0.9917907,0.9519179,0.666442,0.294464082,-0.7519565,0.0375373177
leftThumbDistal,-0.97718817,0.9272196,0.6577413,0.254340857,-0.7527813,-0.012960027
leftThumbTip,-0.9646108,0.89741087,0.646496654,0.254343063,-0.752781034,-0.0129578141
leftIndexProximal,-0.9667958,0.9237166,0.6840625,0.347416341,0.147513509,0.299011678
leftIndexMedial,-0.9475402,0.897238,0.652222335,-0.347248256,-0.147456184,-0.2990399
leftIndexDistal,-0.935688555,0.8809422,0.632641256,-0.3471362,-0.147417963,-0.2990587
leftIndexTip,-0.9240706,0.8649689,0.6134563,-0.347136885,-0.147416636,-0.299057871
leftMiddleProximal,-0.9818011,0.904463768,0.6801287,0.294451863,-0.9165393,-0.266732723
leftMiddleMedial,-0.9576432,0.8723806,0.655937731,0.28453365,-0.867501736,-0.398285747
leftMiddleDistal,-0.944559753,0.856274962,0.6330093,0.274478644,-0.824283,-0.4814024
