BoneName,PosX,PosY,PosZ,RotX,RotY,RotZ
hip,-1.14737761,0.9327825,0.528940439,-0.0352328122,0.707159936,0.0189810265
spine,-1.19272721,1.01340425,0.527122855,0.706746459,0.0322864726,0.7065849
chest,-1.20742035,1.28980815,0.519277632,-0.70585227,-0.0263819341,-0.7078502
neck,-1.21629155,1.48988664,0.513198555,-0.7185949,-0.0203932729,-0.6948746
head,-1.21663189,1.59832406,0.5071806,-0.7306672,-0.01438559,-0.6812508
leftShoulder,-1.19419658,1.41555715,0.585160255,-0.48455444,0.402800441,-0.540251553
leftUpperArm,-1.22244847,1.42265427,0.7150115,0.06330318,0.9965503,-0.040053647
leftLowerArm,-1.25574434,1.16749883,0.734444737,0.0271112025,0.9942324,-0.101631306
leftHand,-1.27227187,0.8896327,0.7915469,0.204424024,-0.965355635,-0.06495549
rightShoulder,-1.19371009,1.411351,0.446014017,-0.506342053,-0.630259752,-0.410313785
rightUpperArm,-1.23256874,1.39131987,0.320321381,-0.0317634866,-0.0566052869,-0.205232441
rightLowerArm,-1.13005829,1.15552759,0.2983172,0.05330676,-0.00328489114,0.556873441
rightHand,-0.867639661,1.04922521,0.274246722,0.189387366,0.1008279,-0.389879555
leftUpLeg,-1.14730787,0.934627056,0.6090039,0.0816696,-0.993363559,0.0246278029
leftLeg,-1.0763824,0.5137242,0.624519646,-0.0458085425,-0.995272636,0.034671586
leftFoot,-1.11299574,0.0884814858,0.657746434,-0.566892147,0.5065581,-0.335804671
leftToe,-1.0008533,0.01144506,0.610326767,-0.6030905,0.48276937,-0.369187832
leftToeEnd,0.0,0.0,0.0,0.0,0.0,0.0
rightUpLeg,-1.14744735,0.930937946,0.448876977,0.0172627978,-0.0312109869,-0.0482469164
rightLeg,-1.188127,0.506062269,0.432870746,0.0172628015,-0.0312109664,-0.0482470058
rightFoot,-1.22886133,0.08022305,0.4162105,-0.6259162,0.2953689,-0.326305479
rightToe,-1.1242727,0.0181558132,0.338957459,-0.6264673,0.295089453,-0.326558352
rightToeEnd,0.0,0.0,0.0,0.0,0.0,0.0
leftThumbProximal,-1.23919129,0.881430566,0.79794085,0.4796635,-0.739501059,-0.17648679
leftThumbMedial,-1.21727633,0.862566769,0.7710288,0.08523644,-0.8706087,-0.0558380075
leftThumbDistal,-1.214438,0.83320713,0.765653551,0.05640929,-0.865735352,-0.107608788
leftThumbTip,-1.21467137,0.799966455,0.7573954,0.05641119,-0.865735531,-0.107606225
leftIndexProximal,-1.212837,0.8289472,0.794870138,0.312701553,-0.0481343977,0.107272953
leftIndexMedial,-1.202227,0.793260157,0.7684211,-0.3121533,0.0481967628,-0.107244879
leftIndexDistal,-1.19570017,0.771285057,0.7521752,-0.311787754,0.04823833,-0.107226141
leftIndexTip,-1.189304,0.7497368,0.736270845,-0.311788172,0.048239816,-0.1072254
leftMiddleProximal,-1.23368061,0.818204463,0.787031531,-0.07299879,0.971648932,0.189074278
leftMiddleMedial,-1.2248714,0.7751719,0.770638466,0.09179515,-0.92806077,-0.344316542
leftMiddleDistal,-1.21729684,0.752101541,0.7514899,0.103006355,-0.8851985,-0.4430286
leftMiddleTip,-1.2092545,0.7345681,0.728633165,0.103006326,-0.8851986,-0.4430284
leftRingProximal,-1.25574851,0.813572347,0.777257264,-0.0779527053,0.973334,0.1214023
leftRingMedial,-1.24720693,0.771603465,0.7681257,0.08805829,-0.9647636,-0.1770562
leftRingDistal,-1.24067223,0.7455696,0.759340167,0.09463654,-0.9572808,-0.213848084
leftRingTip,-1.23369,0.7210797,0.7489676,0.094636485,-0.9572809,-0.213847786
leftLittleProximal,-1.27684307,0.8162648,0.7688827,-0.0250485428,0.9021275,0.272893667
leftLittleMedial,-1.26879609,0.786152065,0.7520269,0.0535571538,-0.8753796,-0.34930715
leftLittleDistal,-1.26157439,0.769441843,0.7391927,0.0723587945,-0.853942037,-0.398858339
leftLittleTip,-1.25286543,0.754210353,0.724808753,0.07235889,-0.8539419,-0.398858517
rightThumbProximal,-0.835523844,1.05701256,0.2847544,-0.106981747,-0.638187,0.635391235
rightThumbMedial,-0.819766164,1.05031037,0.3203514,-0.04427202,0.6884149,-0.2685672
rightThumbDistal,-0.8071113,1.024771,0.3296532,0.0432895832,0.7174304,-0.1770226
rightThumbTip,-0.801084757,0.9927943,0.340347379,0.04328776,0.7174301,-0.177024677
rightIndexProximal,-0.7951642,1.02204132,0.3093838,-0.281399429,-0.367315173,0.303816676
rightIndexMedial,-0.7814942,0.992035747,0.340982378,0.344952226,0.389707237,-0.274505466
rightIndexDistal,-0.7765759,0.97486,0.362667263,0.3862008,0.4033481,-0.254037946
rightIndexTip,-0.7741064,0.959092438,0.385105431,0.386200726,0.4033479,-0.254037827
rightMiddleProximal,-0.8107557,1.002853,0.309253871,-0.3178111,-0.23663713,0.275324434
rightMiddleMedial,-0.7951948,0.9725477,0.341465533,0.400546342,0.2620103,-0.251299083
rightMiddleDistal,-0.7886102,0.955452442,0.3663789,0.4536966,0.277593464,-0.2339711
rightMiddleTip,-0.784753442,0.941131,0.3923508,0.4536963,0.2775934,-0.233971164
rightRingProximal,-0.8307141,0.9885134,0.3090743,-0.354522347,-0.116075426,0.23627834
rightRingMedial,-0.815751,0.9606193,0.3393358,0.446708053,0.140226558,-0.222794667
rightRingDistal,-0.808528662,0.9464522,0.362676,0.5054979,0.155486092,-0.212426513
rightRingTip,-0.803251743,0.935489058,0.387334615,0.505497754,0.155486077,-0.212426543
rightLittleProximal,-0.852224052,0.9811802,0.30664438,-0.375051469,-0.02904077,0.210864782
rightLittleMedial,-0.839513,0.958865464,0.331059933,0.412506372,0.0378458872,-0.209463686
rightLittleDistal,-0.8319437,0.9461266,0.347689,0.437079,0.0436802134,-0.208325237
rightLittleTip,-0.8245494,0.93407613,0.365432978,0.437079,0.0436802022,-0.208325237
