BoneName,PosX,PosY,PosZ,RotX,RotY,RotZ
hip,-1.27705467,0.929372966,0.349702924,-0.0524702147,0.727068,0.0229119733
spine,-1.32482755,1.0086,0.3489255,0.718351,0.0513342,0.6937126
chest,-1.34225368,1.28405356,0.327360153,-0.7001654,-0.049006924,-0.7121181
neck,-1.35145187,1.48335636,0.308898836,-0.7038823,-0.0288560819,-0.7091152
head,-1.35131383,1.59159076,0.299937874,-0.707167447,-0.008687543,-0.7056774
leftShoulder,-1.33031642,1.41364026,0.385609359,-0.4841457,0.376011252,-0.577511251
leftUpperArm,-1.36473846,1.4317168,0.512881637,0.141774669,0.986953735,-0.0581530035
leftLowerArm,-1.43843615,1.1857841,0.538888156,0.127491519,0.985984147,-0.107528031
leftHand,-1.51013982,0.9174386,0.598827,-0.0558809936,-0.98461,-0.0516670458
rightShoulder,-1.32766771,1.40092373,0.247006088,-0.4826056,-0.630635262,-0.427212834
rightUpperArm,-1.35951746,1.37841189,0.119771332,-0.0472779721,-0.0163193829,-0.3006315
rightLowerArm,-1.21213984,1.168159,0.0940002054,0.0425974838,-0.029604692,0.657746136
rightHand,-0.9305296,1.13090289,0.08687548,0.216376424,0.114378028,-0.527558565
leftUpLeg,-1.27238524,0.9329726,0.429570347,0.261169374,-0.948089361,0.07326311
leftLeg,-1.050478,0.568706155,0.451875,-0.325099081,-0.926065266,0.158247933
leftFoot,-1.29342675,0.2526714,0.6079964,-0.395508438,0.574389,-0.346613646
leftToe,-1.2051872,0.139312729,0.5969169,-0.3900446,0.577378154,-0.341611326
leftToeEnd,0.0,0.0,0.0,0.0,0.0,0.0
rightUpLeg,-1.2817241,0.9257734,0.2698355,0.015218596,0.102533348,-0.02204469
rightLeg,-1.26433158,0.499267727,0.2846935,0.00478497427,0.10780631,0.07752146
rightFoot,-1.33042789,0.07630971,0.280994445,-0.6017269,0.310107231,-0.378220677
rightToe,-1.215723,0.0162958726,0.2177465,-0.6017269,0.310107231,-0.378220677
rightToeEnd,0.0,0.0,0.0,0.0,0.0,0.0
leftThumbProximal,-1.48552811,0.893527746,0.60382843,0.292928845,-0.8220714,-0.295477331
leftThumbMedial,-1.47557712,0.867703,0.5756428,-0.130558237,-0.8564077,-0.172861144
leftThumbDistal,-1.48713958,0.840534568,0.5704346,-0.157059327,-0.8451624,-0.221395224
leftThumbTip,-1.50321591,0.8113301,0.5625705,-0.157057479,-0.845163047,-0.221392766
leftIndexProximal,-1.48884475,0.8351519,0.5975233,0.29826346,-0.111509219,-0.143382832
leftIndexMedial,-1.49807882,0.7994859,0.5705352,-0.297899932,0.111453563,0.1434262
leftIndexDistal,-1.50376618,0.7775318,0.5539489,-0.297657549,0.111416444,0.143455088
leftIndexTip,-1.50934362,0.7560092,0.5377052,-0.297657549,0.111417986,0.143455788
leftMiddleProximal,-1.5122931,0.836654663,0.589827836,0.181120828,0.95770365,0.1632071
leftMiddleMedial,-1.52621913,0.795344055,0.572575748,-0.152914673,-0.9167557,-0.321546078
leftMiddleDistal,-1.5312885,0.772261,0.552631855,-0.1316367,-0.87489593,-0.422362447
leftMiddleTip,-1.53319871,0.754059732,0.5289761,-0.131636739,-0.874896049,-0.422362238
leftRingProximal,-1.53376365,0.844163835,0.5805209,0.1724731,0.9615583,0.0909973457
leftRingMedial,-1.546748,0.803702533,0.5699371,-0.160309985,-0.9541816,-0.149707913
leftRingDistal,-1.55366707,0.7781775,0.560025,-0.151863441,-0.947271347,-0.188552335
leftRingTip,-1.559402,0.7539037,0.548449636,-0.1518635,-0.9472714,-0.188552037
leftLittleProximal,-1.55073571,0.8574522,0.572923,0.209376127,0.885564446,0.192003608
leftLittleMedial,-1.55887508,0.8277367,0.555419147,-0.179009333,-0.8671644,-0.262899
leftLittleDistal,-1.561302,0.8099696,0.542207658,-0.158099875,-0.8517389,-0.30924204
leftLittleTip,-1.56190717,0.7927553,0.5274414,-0.158099756,-0.8517388,-0.3092422
rightThumbProximal,-0.902599037,1.149111,0.0964059,-0.05417673,-0.599012136,0.7307569
rightThumbMedial,-0.8865231,1.15202928,0.132370085,-0.1102113,0.639352262,-0.4277771
rightThumbDistal,-0.8661539,1.13374877,0.144611135,-0.0438470542,0.6805506,-0.3586301
rightThumbTip,-0.848449349,1.10843956,0.15941608,-0.0438488163,0.680549741,-0.358632058
rightIndexProximal,-0.8540998,1.13067,0.124087021,-0.24779962,-0.372438282,0.464508474
rightIndexMedial,-0.8301031,1.11031723,0.157186851,0.288962215,0.397128135,-0.4435852
rightIndexDistal,-0.8178647,1.09796965,0.179259226,0.3159385,0.412941366,-0.428903371
rightIndexTip,-0.8076008,1.086062,0.201865539,0.315938473,0.412941158,-0.428903282
rightMiddleProximal,-0.8630723,1.10770237,0.125899956,-0.2939489,-0.258155257,0.4432937
rightMiddleMedial,-0.8366641,1.08734667,0.15886049,0.355584741,0.291742861,-0.42194733
rightMiddleDistal,-0.8226915,1.07525432,0.183656126,0.395513147,0.313173532,-0.40629518
rightMiddleTip,-0.811585,1.06457722,0.209291324,0.395512849,0.3131734,-0.40629527
rightRingProximal,-0.877682,1.087984,0.12721765,-0.3458659,-0.152987018,0.405461341
rightRingMedial,-0.852763057,1.069068,0.157860175,0.4066688,0.182653591,-0.392990679
rightRingDistal,-0.839106143,1.0588907,0.180388913,0.445982426,0.201883569,-0.3834672
rightRingTip,-0.8275423,1.05041862,0.203853473,0.445982337,0.201883525,-0.383467227
rightLittleProximal,-0.895854831,1.07421529,0.125625581,-0.384914756,-0.08102111,0.3739354
rightLittleMedial,-0.875806868,1.05919015,0.150684759,0.4020792,0.0886819363,-0.372192949
rightLittleDistal,-0.8636035,1.05028939,0.167054057,0.413428515,0.09376862,-0.370944083
rightLittleTip,-0.851455152,1.04160058,0.184132174,0.413428515,0.09376861,-0.370944083
