BoneName,PosX,PosY,PosZ,RotX,RotY,RotZ
hip,-1.3932724,0.9491113,0.216737449,-0.08566623,0.7280246,0.00147365918
spine,-1.44255435,1.02712715,0.21005936,0.7106614,0.0686616451,0.7000434
chest,-1.44840121,1.30200171,0.178954318,-0.67329,-0.03435092,-0.7372834
neck,-1.444745,1.50112927,0.157002017,-0.6920183,-0.00322166458,-0.7207
head,-1.43879032,1.60936439,0.150314972,-0.709638357,0.0279127564,-0.7029624
leftShoulder,-1.43353736,1.43177748,0.236098677,-0.446970075,0.373863429,-0.5993403
leftUpperArm,-1.47661257,1.44747841,0.361030161,0.16299966,0.9776538,-0.09044359
leftLowerArm,-1.56339288,1.20736063,0.398489833,0.221468911,0.9609955,-0.1285154
leftHand,-1.69197989,0.9604678,0.455522716,0.0218042471,-0.9729447,0.002508514
rightShoulder,-1.42107356,1.41635823,0.09830722,-0.464374661,-0.6144638,-0.456921667
rightUpperArm,-1.44290292,1.39624238,-0.03141831,-0.0616748855,0.014577942,-0.344543666
rightLowerArm,-1.27588749,1.20142078,-0.0586390346,0.0468621366,-0.057058163,0.559977
rightHand,-1.0117538,1.09672129,-0.0624575764,0.222549632,0.0613535829,-0.449514568
leftUpLeg,-1.38846385,0.9589401,0.296071172,0.4319011,-0.8697472,0.123513773
leftLeg,-1.04601645,0.7042017,0.3124561,-0.425932139,-0.87490356,0.230182558
leftFoot,-1.36260557,0.47703594,0.4897778,-0.174170643,0.4575047,-0.367643654
leftToe,-1.30288649,0.352184147,0.5298381,-0.1453868,0.470534176,-0.3508135
leftToeEnd,0.0,0.0,0.0,0.0,0.0,0.0
rightUpLeg,-1.39808106,0.939282537,0.137403712,0.06734939,0.0890705362,0.0117942076
rightLeg,-1.41321671,0.516157448,0.1936749,0.06734927,0.089070566,0.0117942775
rightFoot,-1.42827892,0.09196931,0.24947308,-0.6157189,0.317358673,-0.3465077
rightToe,-1.31876075,0.030135572,0.179177225,-0.6162679,0.317057669,-0.346783131
rightToeEnd,0.0,0.0,0.0,0.0,0.0,0.0
leftThumbProximal,-1.66584957,0.9409749,0.467342764,0.36256665,-0.840938747,-0.167589575
leftThumbMedial,-1.64659548,0.914077759,0.4457512,-0.09695711,-0.9126105,-0.024817165
leftThumbDistal,-1.65249109,0.884696,0.446697563,-0.110987522,-0.91115135,-0.0572450832
leftThumbTip,-1.66095817,0.8515124,0.446110159,-0.110985912,-0.911151469,-0.0572423823
leftIndexProximal,-1.6613481,0.8823698,0.469259053,0.250033766,-0.161580816,-0.0343937
leftIndexMedial,-1.66065514,0.8425187,0.4469634,-0.250022173,0.161580876,0.0343938246
leftIndexDistal,-1.66022885,0.818001,0.4332472,-0.250014454,0.16158092,0.0343939066
leftIndexTip,-1.65981078,0.7939734,0.419805318,-0.250014663,0.16158247,0.0343945175
leftMiddleProximal,-1.683318,0.8796642,0.45824495,0.0635175556,0.9660135,0.112772562
leftMiddleMedial,-1.68670559,0.8343507,0.446697384,-0.0301043447,-0.9391269,-0.252864569
leftMiddleDistal,-1.68484712,0.8074376,0.431580782,-0.007414864,-0.909911335,-0.3434547
leftMiddleTip,-1.68047476,0.784588337,0.4127839,-0.007414922,-0.9099114,-0.34345448
leftRingProximal,-1.70379221,0.8829234,0.4450473,0.0578748137,0.9591989,0.0468355156
leftRingMedial,-1.70753551,0.839617,0.439730257,-0.0386503376,-0.9535714,-0.113831654
leftRingDistal,-1.70784175,0.812190652,0.4329959,-0.0257217418,-0.947219849,-0.15820998
leftRingTip,-1.70676625,0.7861062,0.424361974,-0.0257218257,-0.9472199,-0.158209682
leftLittleProximal,-1.72079122,0.892692149,0.433301628,0.09333041,0.891179562,0.1635276
leftLittleMedial,-1.72190237,0.8597696,0.420243382,-0.0603062771,-0.875405,-0.233684555
leftLittleDistal,-1.719894,0.8400908,0.41000545,-0.0380635969,-0.861816049,-0.2796704
leftLittleTip,-1.71603441,0.8210178,0.398340732,-0.0380634628,-0.8618159,-0.279670566
rightThumbProximal,-0.9802084,1.10907125,-0.0550516322,-0.117041253,-0.5716756,0.697070539
rightThumbMedial,-0.962550461,1.10904,-0.0197165534,-0.0603246577,0.615784347,-0.365585268
rightThumbDistal,-0.9450792,1.08729064,-0.008732573,-0.00120993168,0.64453727,-0.312113345
rightThumbTip,-0.93010217,1.05971241,0.004990476,-0.0012118537,0.644536555,-0.312115222
rightIndexProximal,-0.9348578,1.08174336,-0.029458642,-0.245119855,-0.3041781,0.399085
rightIndexMedial,-0.91143,1.05610943,0.000201355666,0.2659786,0.3141538,-0.39128077
rightIndexDistal,-0.8980281,1.04059136,0.0194109436,0.279791266,0.320693523,-0.3859391
rightIndexTip,-0.8855732,1.0255698,0.0388381481,0.279791236,0.3206933,-0.385938972
rightMiddleProximal,-0.948151,1.06111944,-0.0264179371,-0.2658313,-0.176166385,0.37144205
rightMiddleMedial,-0.922171831,1.03379858,0.00145321339,0.303496659,0.192151591,-0.3634303
rightMiddleDistal,-0.9064576,1.01674056,0.0219072755,0.3282931,0.20260863,-0.357705951
rightMiddleTip,-0.892239869,1.00093246,0.0429424867,0.328292817,0.202608511,-0.357705981
rightRingProximal,-0.9663301,1.044811,-0.0236710552,-0.3164268,-0.0554932,0.329193354
rightRingMedial,-0.9422671,1.01928,0.00253718533,0.339730233,0.06415423,-0.327615619
rightRingDistal,-0.927226961,1.00361955,0.0205975827,0.355135828,0.06990392,-0.326437145
rightRingTip,-0.9129168,0.9889185,0.03890557,0.3551357,0.06990389,-0.326437145
rightLittleProximal,-0.9869672,1.03499007,-0.023827767,-0.3240793,0.0274869464,0.301435947
rightLittleMedial,-0.9671885,1.01343811,-0.00382893533,0.3325565,-0.0246298332,-0.3016828
rightLittleDistal,-0.954820037,1.00014544,0.009071814,0.33819142,-0.0227238443,-0.301832348
rightLittleTip,-0.9422674,0.9867809,0.0224343762,0.33819142,-0.0227238555,-0.301832348
