BoneName,PosX,PosY,PosZ,RotX,RotY,RotZ
hip,-1.35476065,0.949476063,0.44179672,-0.0182582065,0.6753861,0.00506762927
spine,-1.39632249,1.031978,0.4367153,0.684114635,0.00572000537,0.729350567
chest,-1.38904917,1.30872285,0.436719567,-0.700901031,0.019399872,-0.7128429
neck,-1.37939751,1.5088526,0.438128561,-0.7108562,-0.00341637176,-0.7028346
head,-1.375899,1.61730385,0.43353495,-0.7202031,-0.0262297,-0.69222486
leftShoulder,-1.3654052,1.43021369,0.5074948,-0.48462224,0.411619782,-0.5392173
leftUpperArm,-1.39156592,1.43703115,0.637798369,0.02796731,0.998766959,-0.02469464
leftLowerArm,-1.405564,1.179698,0.651,0.0837577358,0.992642939,-0.08742657
leftHand,-1.45275748,0.9038749,0.700374,0.138677269,-0.9734814,-0.07876366
rightShoulder,-1.36303282,1.43107915,0.3683071,-0.5451456,-0.6008452,-0.393836141
rightUpperArm,-1.4049201,1.418381,0.242632613,-0.0331997834,-0.0546475127,-0.150610328
rightLowerArm,-1.32917345,1.1726054,0.221481711,0.0434738174,-0.001021513,0.405735463
rightHand,-1.1186372,0.9830811,0.199161842,0.196774915,0.05061395,-0.3919837
leftUpLeg,-1.36178052,0.9508528,0.5215613,0.0475337952,-0.997167349,-0.0141269369
leftLeg,-1.32197273,0.5258348,0.507231355,-0.0733866245,-0.9956462,-0.00722564757
leftFoot,-1.38481688,0.102369696,0.5052688,-0.5278309,0.486452073,-0.436125845
leftToe,-1.260485,0.03272835,0.4840359,-0.5283063,0.486069739,-0.436552078
leftToeEnd,0.0,0.0,0.0,0.0,0.0,0.0
rightUpLeg,-1.34774077,0.9480994,0.362032115,0.07262399,-0.0314706638,0.0764130056
rightLeg,-1.28090966,0.530474,0.302424878,0.07862255,-0.0262678433,-0.143461347
rightFoot,-1.40023112,0.125372916,0.23220107,-0.462616056,0.3456828,-0.322545648
rightToe,-1.30916917,0.0214282647,0.191428587,-0.5497719,0.304215521,-0.361918837
rightToeEnd,0.0,0.0,0.0,0.0,0.0,0.0
leftThumbProximal,-1.4211024,0.891187668,0.7066563,0.4821064,-0.7558829,-0.193875089
leftThumbMedial,-1.398413,0.873018265,0.679908752,0.06295798,-0.889155269,-0.06294447
leftThumbDistal,-1.39675021,0.8435112,0.674858,0.0406491719,-0.8849464,-0.106906019
leftThumbTip,-1.39759159,0.810155451,0.66712,0.040650975,-0.8849466,-0.106903382
leftIndexProximal,-1.40160847,0.835981369,0.701111138,0.301262617,-0.08295614,0.05746768
leftIndexMedial,-1.39434874,0.798903465,0.6754555,-0.30088228,0.08297922,-0.05743448
leftIndexDistal,-1.38988507,0.7760791,0.6596897,-0.3006287,0.0829945952,-0.05741234
leftIndexTip,-1.38551211,0.7537028,0.6442507,-0.30062905,0.08299611,-0.057411626
leftMiddleProximal,-1.42352021,0.8284087,0.692518353,-0.02553177,0.9672044,0.21074152
leftMiddleMedial,-1.41844869,0.7857499,0.6737396,0.0477908142,-0.920282,-0.364660561
leftMiddleDistal,-1.41271794,0.76319176,0.6533786,0.0619705059,-0.8753626,-0.46220842
leftMiddleTip,-1.40594733,0.746291935,0.629649162,0.0619704723,-0.8753627,-0.4622082
leftRingProximal,-1.44583523,0.827143,0.682299256,-0.032537166,0.9740588,0.126858741
leftRingMedial,-1.441009,0.7848533,0.6720028,0.04091368,-0.967265666,-0.17111665
leftRingDistal,-1.437006,0.758359134,0.663076,0.0464520678,-0.96161896,-0.200431153
leftRingTip,-1.43254852,0.7331897,0.6529405,0.0464520156,-0.961619,-0.200430855
leftLittleProximal,-1.46627378,0.832936645,0.6738697,0.0281048715,0.899637043,0.266305625
leftLittleMedial,-1.46155655,0.8025837,0.6562036,-0.002667903,-0.8776187,-0.331739217
