BoneName,PosX,PosY,PosZ,RotX,RotY,RotZ
hip,-1.11780751,0.932458,0.5198013,-0.00374783552,0.706882536,0.02169022
spine,-1.159836,1.014853,0.521905661,0.703193963,0.00375060225,0.7108196
chest,-1.16449261,1.29171109,0.523565769,-0.6956644,-0.00375539134,-0.7183506
neck,-1.16641831,1.492069,0.5233353,-0.7084878,-0.002857733,-0.705474734
head,-1.1640234,1.60059774,0.5200505,-0.720747769,-0.00195780187,-0.6920378
leftShoulder,-1.14898753,1.41492975,0.5936009,-0.4727701,0.4099153,-0.543080568
leftUpperArm,-1.17834234,1.41984,0.7233085,0.0892361552,0.995020032,-0.03319921
leftLowerArm,-1.22467268,1.166467,0.738998652,0.0423238762,0.995332658,-0.0390069522
leftHand,-1.25033092,0.884195864,0.7591997,0.259817,-0.934951246,-0.110777073
rightShoulder,-1.14452136,1.41481268,0.454462051,-0.535904646,-0.6053763,-0.419002742
rightUpperArm,-1.18478477,1.40490019,0.3280086,-0.0163027439,-0.00392955448,-0.0493760332
rightLowerArm,-1.15936923,1.14824414,0.319506466,0.07034481,0.0112953838,0.139875934
rightHand,-1.08131421,0.8780219,0.27912724,0.177340224,0.0422909223,-0.104652949
leftUpLeg,-1.117783,0.9304262,0.599860251,0.0366585553,-0.993543,0.009541259
leftLeg,-1.08579826,0.5045333,0.604608953,-0.0450472422,-0.99312216,0.01831589
leftFoot,-1.12230074,0.07846764,0.6248955,-0.5586415,0.4365103,-0.415223539
leftToe,-0.999240756,0.01277557,0.588840961,-0.566634536,0.430604279,-0.4213451
leftToeEnd,0.0,0.0,0.0,0.0,0.0,0.0
rightUpLeg,-1.11783206,0.934489846,0.439742357,0.0145497667,-0.103666008,-0.0101886373
rightLeg,-1.12519872,0.5076407,0.426480174,0.0145497667,-0.103666015,-0.010188546
rightFoot,-1.13245463,0.07982057,0.4125823,-0.609232247,0.3133906,-0.367961854
rightToe,-1.0191443,0.0200464837,0.34665072,-0.609232247,0.3133906,-0.367961854
rightToeEnd,0.0,0.0,0.0,0.0,0.0,0.0
leftThumbProximal,-1.217452,0.879276931,0.7690619,0.5680272,-0.7059211,-0.153741047
leftThumbMedial,-1.19056118,0.8671337,0.74279803,0.176025435,-0.873908043,-0.07982577
